x,y
611.622537,240.216557
607.024747,245.063199
612.161765,239.208169
624.410726,255.209080
645.484261,263.052481
624.976590,266.211220
602.869802,296.781267
613.084563,307.722674
635.680525,298.814929
624.585629,307.913549
616.951351,324.611834
626.667693,334.180697
639.907079,329.455876
650.460385,321.591841
645.434233,325.191280
623.783404,358.633658
643.939428,342.281315
644.320936,361.905864
617.393547,398.681839
658.364103,349.931622
659.142892,391.774325
661.166434,394.008188
638.397095,389.778313
690.935247,415.693344
685.480828,380.011537
674.072222,416.911970
676.158750,410.471516
668.576144,422.567617
698.142249,419.847899
675.744811,435.969690
671.771880,459.219425
663.704594,464.405119
686.593112,473.387657
676.093974,460.869526
659.601796,500.711690
661.630793,488.886384
664.200777,513.269358
652.153139,511.896932
645.823334,512.902566
653.835068,537.886199
671.010144,523.349799
661.907528,546.931541
684.153207,555.580862
669.425194,561.164114
670.668619,561.107032
654.696172,576.497715
664.365480,584.616943
677.883245,585.124211
665.786160,576.224730
668.607246,597.763548
655.901708,594.541803
636.965164,605.627055
638.085906,621.052952
634.900025,635.313606
606.341543,628.099173
620.232545,634.779100
627.764981,639.874759
619.309150,652.155373
629.705306,659.550539
624.735832,668.308130
629.536645,662.981318
623.043825,674.792875
634.628883,682.032360
588.668694,683.352974
618.682697,692.403287
600.368479,703.301436
605.390760,684.266407
603.186867,707.500838
573.656381,705.541323
586.301765,718.919992
632.372049,698.141417
624.135657,732.680875
597.683828,725.652599
598.486851,743.344035
585.205011,748.206424
574.300469,750.059459
581.042428,758.093295
578.020647,758.173765
576.833622,764.313388
576.949140,773.632751
571.171520,767.475472
566.240816,777.088542
561.390262,781.364543
575.451751,780.505379
569.018045,786.586250
559.136663,779.389501
536.496219,787.875900
542.730969,794.125899
555.381864,787.838518
543.705352,808.090965
558.103447,800.385553
541.401809,810.196433
531.731178,820.555871
535.517578,822.218984
519.569003,818.162285
519.109165,824.283343
516.786219,828.118284
512.840970,826.638107
490.620916,830.459030
496.392985,830.167144
474.145104,821.815479
474.949636,821.591505
473.675083,835.931194
471.764954,832.433079
458.762908,842.743857
440.787376,855.773732
452.255344,843.875446
436.288272,832.614145
427.225408,866.936742
438.745728,844.203646
437.401476,864.865688
426.977959,845.774151
415.603361,874.956096
419.441187,858.696901
407.777870,869.684681
412.672446,890.380635
413.543497,874.606291
394.910974,888.525035
395.868418,896.700444
394.566593,889.849425
386.239046,906.010186
388.753585,909.036998
383.699298,911.675880
380.968249,923.832170
369.014488,922.642601
352.228078,933.083359
360.381092,930.971912
365.184172,927.797217
352.565844,940.066110
365.013754,933.598560
360.416633,908.274769
359.927042,934.118623
350.891830,932.856177
370.574130,929.516935
382.996712,929.404066
368.575761,929.589946
368.646568,916.417940
388.349613,914.298033
412.654486,904.846962
392.456978,912.229069
396.812417,901.352745
425.308257,901.008672
413.615424,881.260057
426.370398,897.600892
431.001580,883.479296
431.471152,885.460948
442.801344,883.337260
429.323053,887.994394
454.070294,870.067312
457.976683,868.979689
457.969670,868.259571
459.646990,884.833793
476.505245,866.608400
499.629164,866.986342
496.240886,855.207619
473.601699,832.560701
485.840104,859.767558
