x,y
728.070105,405.408046
709.964405,411.256291
691.645009,420.250851
676.118907,434.367384
665.849190,450.279388
652.764947,469.345768
641.008404,484.541024
632.925889,491.988374
617.703171,503.331099
608.449413,512.310109
600.607931,518.029217
590.476870,526.129526
580.788709,533.536539
570.757280,540.225377
562.126990,546.669190
548.348810,559.454317
540.032604,564.823614
527.080053,569.893348
518.509148,575.131112
507.718813,580.309957
502.834900,582.417161
494.981837,585.076472
487.980850,587.966240
480.682104,588.971878
470.091876,591.449517
462.489089,592.576591
458.645044,595.309600
455.345644,598.109419
453.094716,595.049448
450.792084,596.107767
449.260384,596.622591
444.984286,596.738680
439.898998,597.472145
432.427719,598.037098
421.809876,602.279539
410.287301,602.802330
397.147541,605.917569
387.882297,602.827122
378.160882,601.052039
369.197691,598.119671
361.614352,595.865190
353.377243,593.595970
352.813654,590.303799
369.301706,585.108936
357.294133,581.125470
307.954749,568.716104
301.832648,566.720361
294.997575,565.370666
286.739025,564.527265
277.580023,564.666854
267.536249,562.227048
255.105861,560.766514
209.476409,556.859949
207.497193,550.799690
208.811924,543.072405
210.758365,535.722192
210.120071,522.451579
216.555278,514.441559
220.615060,504.542162
229.332244,493.743327
239.492150,486.020377
249.609972,482.408586
264.707480,478.794648
282.973960,475.183078
297.615484,470.086191
316.086593,462.156343
323.688786,458.425598
341.823480,458.208564
353.474933,467.691060
371.946972,458.439478
381.657696,458.035973
394.106920,459.758382
408.560950,457.260122
418.853764,452.073159
421.851310,438.689805
437.121690,436.538328
471.945299,437.444486
484.086812,437.642383
497.264792,436.833021
524.012853,440.075857
542.746883,444.170714
557.099034,441.706668
569.619864,438.107620
585.080108,431.305262
592.191315,426.439453
599.523161,418.375965
604.147788,412.794283
602.071639,406.601528
601.688032,404.234817
599.593103,403.510231
596.127558,406.128019
596.915516,415.972892
579.380804,407.956012
564.227106,412.684420
557.587869,413.027922
549.809855,414.275211
534.924068,419.613589
525.152162,417.577767
514.766699,415.297802
494.194714,417.142045
484.222684,409.899766
477.769668,396.938548
469.029380,389.377840
458.458553,376.321913
447.056459,369.568106
429.912853,353.353269
417.268698,349.398486
405.078173,346.004871
392.260301,339.703351
381.867247,329.313003
354.484554,302.342999
342.661768,306.096996
330.975100,309.497166
319.937204,315.604943
307.543248,325.392304
262.439709,343.598396
260.804427,346.698949
258.826443,352.024990
254.279929,364.741319
254.835643,367.548598
255.629098,369.463728
258.494015,377.122943
262.241167,374.965746
266.909853,372.720589
278.159418,363.251994
282.223212,365.190652
289.440139,366.661893
298.504650,370.376687
327.691741,378.797409
327.327163,379.082088
326.184606,379.835302
323.845065,380.783052
321.208537,381.052995
318.693258,382.328352
305.672520,381.220821
302.158865,384.256635
305.025545,388.507107
309.660625,391.483148
315.754297,396.711196
324.161438,403.302336
337.083101,417.932478
353.955249,430.860090
358.070028,433.812843
